Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
O=c1[nH][nH]c(=O)c2cc([N+](=O)[O-])ccc12,3.8992,10.0616,2.8479
Nc1cc(Cl)cc(Cl)c1,13.937,6.3728,7.2865
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,5.2819,3.4939,2.0562
C=C(Cl)CSC(=S)N(CC)CC,36.3878,30.0961,25.9475
NCCCCCCNCCCCCCN,66.4576,50.6067,48.0024
NC(=O)NNc1ccccc1,4.4897,1.8806,0.9807
Cc1ccc(N)cc1C,3.2301,10.0699,13.3037
COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.O.[Cl-],8.7904,4.5039,7.1104
CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,24.741,29.0462,29.8766
CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](OCCO)[C@H]1OCCO,31.4545,30.5991,22.7985
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,15.6179,10.2385,10.6551
CC(=O)NNc1ccccc1,18.0939,12.9306,13.4629
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,17.5129,37.0749,21.7524
Cc1ccc(Cl)cc1N,3.6305,10.1782,9.8266
Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,2.6419,2.8066,7.7552
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1.[Na+],22.4167,21.3788,24.3183
CC(CC(=O)O)CC(C)(C)C,2.4105,5.7105,5.3128
c1ccc2c(c1)[nH]c1cnccc12,7.9231,10.4702,13.8304
Cc1ccc(S(=O)(=O)NC2CCCCC2)cc1,26.7102,22.4504,20.9027
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,24.9105,20.5846,9.4987
CCO[Si](CCCCl)(OCC)OCC,73.9403,62.3755,57.5157
S=C=NCCc1ccccc1,26.9793,24.0763,24.7425
CC(=O)OC(C)OC(C)=O,6.054,2.1645,0.5751
Cl.Nc1ccc(Nc2ccccc2)cc1,62.4713,33.909,46.6551
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,11.0038,19.935,17.0072
CC(C)(O)C(=O)O,0.071,0.0499,6.5869
Cc1c(N)cccc1N,45.2881,26.7561,36.5394
