,Canonical_Smiles,Inhibition
374,O=C(NCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)no2)c1,86.0
375,O=C(NCc1ccccc1)c1cccc(NCc2csc(-c3ccncc3)n2)c1,87.0
376,O=C(NCc1ccccc1Cl)c1cccc(NCc2nnc(-c3ccncc3)[nH]2)c1,97.0
377,CCCn1c(CNc2cccc(C(=O)NCc3ccccc3)c2)nnc1-c1ccncc1,67.0
378,CCCn1c(CNc2cccc(C(=O)NCc3ccccc3C(F)(F)F)c2)nnc1-c1ccncn1,81.0
380,O=S(=O)(Nc1ncc(F)cn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1N1CCOCC1,32.0
383,Cc1cccc2c1CCN2C(=O)c1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C,22.0
384,Cc1cccc(Cl)c1Nc1nc2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)c3c(c2[nH]1)CC(C)(C)O3,34.0
393,Cc1cc(-c2n[nH]c(-c3ccnc(C#N)c3)n2)ccn1,4.7
405,CCc1ccc(-c2cc(NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,2.2
408,O=C(NCc1ccncc1)Nc1ccc2cn(-c3ccccc3)nc2c1,75.0
409,O=C(NCc1ccncc1)Nc1ccc2nc(-c3ccccc3)nn2c1,37.0
410,O=C(NCc1cn[nH]c1)Nc1ccc2nc(-c3ccccc3)nn2c1,0.0
411,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2ccc(F)cc21,66.0
412,COc1ccc2c(c1)C(NC(=O)Nc1cccc3[nH]ncc13)CCN2Cc1ccccc1,97.0
413,COC(=O)C1CN(Cc2ccc(-c3cn(-c4ccc(C(C)(C)C)cc4)nn3)cc2)C1,97.4
416,N#Cc1c(N2CCOCC2)sc(-c2nc[nH]n2)c1-c1ccc(NC(=O)Nc2ccccc2Cl)cc1,1.5
417,O=C(CCCCCCC(=O)Nc1ccccc1)NO,35.0
418,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CN(Cc3ccccc3)C1)O2)NO,53.0
424,CC1(C)Oc2cc(C#Cc3cc(Cl)ccc3F)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21,31.0
425,O=c1c(O)c(-c2csc3ccccc23)oc2ccc(F)cc12,11.5
426,COc1ccc(Cc2cc3ccccc3cc2-c2cccnc2)cc1,79.0
427,CCC(Nc1cc(-c2[nH]c(SC)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,81.0
432,C#CCOc1cc(-c2nc3ccccc3c(=O)[nH]2)ccc1OC,2.7
433,Cc1cc(C(N)=O)ccc1-n1c(CCC(=O)O)ccc1-c1ccc(-n2ccnc2)s1,91.0
